State | City | Name | Description
CALIFORNIA | SAN FRANCISCO | ADAM GRANT | Merchandising, drygoods and lands.
CALIFORNIA | SAN FRANCISCO | WILLIAM T. GARRATT | Foundry business; then railroads, steamship investments and mining.
CALIFORNIA | SAN FRANCISCO | ALVINZA HAYWARD | Silver and gold mines; Gold Hill Water Company; railroads and real estate.
CALIFORNIA | SAN FRANCISCO | S. C. HASTINGS | Law and investments.
CALIFORNIA | SAN FRANCISCO | CHARLES WEBB HOWARD | Water company and stocks.
CALIFORNIA | SAN FRANCISCO | E. S. HELLER | Wholesale drygoods.
CALIFORNIA | SAN FRANCISCO | A. P. HOTALING | Wholesale liquors and real estate.
CALIFORNIA | SAN FRANCISCO | E. W. HOPKINS | Made in the Central Pacific Railroad.
CALIFORNIA | SAN FRANCISCO | TIMOTHY HOPKINS | Mines and the Central Pacific Railroad. He was the adopted son of Mark Hopkins, from whom he received a large legacy; and he obtained $3,000,000 from the estate of Mrs. Hopkins-Searles, to whom Mark Hopkins left the bulk of his great fortune of over $20,000,000. Treasurer of the Central Pacific Railroad and director in the Southern Pacific.
CALIFORNIA | SAN FRANCISCO | MOSES HOPKINS | Inherited from Mark Hopkins, who made a great fortune in the Central Pacific Railroad and in mines.
CALIFORNIA | SAN FRANCISCO | WILLIAM S. HOPKINS | From Mark Hopkins, who made a great fortune in the Central Pacific Railroad and in mines.
CALIFORNIA | SAN FRANCISCO | C. F. D. HASTINGS | Made in merchandising and real estate.
CALIFORNIA | SAN FRANCISCO | MR. HUTCHINSON | Head of the Alaska Fur Company. Made in the fur business.
CALIFORNIA | SAN FRANCISCO | GEORGE HEARST | Silver, gold and copper mines, banking and real estate.
CALIFORNIA | SAN FRANCISCO | W. R. HEARST | Silver, gold and copper mines, banking and real estate.
CALIFORNIA | SAN FRANCISCO | W. S. HOBART. | Silver mines, speculation and Gold Hill Water Co.
CALIFORNIA | SAN FRANCISCO | A. E. HEAD. | Speculation in mining shares.
CALIFORNIA | SAN FRANCISCO | JAMES IRVINE. | Merchandising and land.
CALIFORNIA | SAN FRANCISCO | JOHN P. JONES. | Silver and gold mines, speculation and banking.
CALIFORNIA | SAN FRANCISCO | M. P. JONES. | Merchandising and real estate.
CALIFORNIA | SAN FRANCISCO | ROBERT JOHNSON. | Merchandising iron.
CALIFORNIA | SAN FRANCISCO | JEFFERSON G. JAMES. | Cattle raising and lands.
CALIFORNIA | SAN FRANCISCO | J. G. KITTLE. | Merchandising and real estate.
CALIFORNIA | SAN FRANCISCO | MICHAEL J. KELLY. | Made in lands and real estate.
CALIFORNIA | SAN FRANCISCO | WILLIAM M. LENT. | Silver and other mines in California and Colorado and speculation.
CALIFORNIA | SAN FRANCISCO | NICHOLAS LUNING. | Real estate and loans.
CALIFORNIA | SAN FRANCISCO | CHARLES LUX (of Miller & Lux). | Cattle-raising and lands.
CALIFORNIA | SAN FRANCISCO | MR. LEWIS (of Allen & Lewis). | Commission grain.
CALIFORNIA | SAN FRANCISCO | JEROME LINCOLN. | Merchandising and banking.
CALIFORNIA | SAN FRANCISCO | JAMES LICK. | Merchandising and rise in real estate. He owned an enormous amount of real estate, including fifty lots in San Francisco, a large tract in Placer County, and the island of Cata, Catalina, containing 50,000 acres, lying off Los Angeles. He founded the Lick Observatory.
CALIFORNIA | SAN FRANCISCO | JOHN W. MACKAY. | Made in the Big Bonanza silver mines, banking and speculation. Director in the Commercial Cable Company.
CALIFORNIA | SAN FRANCISCO | J. L. MOODY. | Merchandising and real estate.
CALIFORNIA | SAN FRANCISCO | ANDREW B. McCREARY. | Speculation in mining shares and real estate.
CALIFORNIA | SAN FRANCISCO | CHARLES MAIN (of Main & Winchester). | Manufacturing harness in Portsmouth, N. H., and sale of goods here. Added to by investments in real estate.
CALIFORNIA | SAN FRANCISCO | ROBERT F. MORROW. | Silver and other mines and speculation.
CALIFORNIA | SAN FRANCISCO | DANIEL MEYER. | Banking and investments.
CALIFORNIA | SAN FRANCISCO | HENRY MILLER (of Miller & Lux). | Wholesale cattle-raising and lands.
CALIFORNIA | SAN FRANCISCO | DR. R. H. McDONALD (of the Pacific Bank). | Finance and banking.
CALIFORNIA | SAN FRANCISCO | THOMAS MAGEE. | Real estate.
CALIFORNIA | SAN FRANCISCO | CHARLES McLAUGHLIN. | Railroads and lands.
CALIFORNIA | SAN FRANCISCO | MRS. McDONOUGH. | From W. S. O’Brien. Made in silver mines, etc.
CALIFORNIA | SAN FRANCISCO | JAMES N. McDONALD. | Merchandising, mines and real estate.
CALIFORNIA | SAN FRANCISCO | DR. JOHN R. NIGHTINGALE. | Investments in real estate.
CALIFORNIA | SAN FRANCISCO | FRANCIS G. NEWLANDS. | From William Sharon. Made in silver mines, etc.
CALIFORNIA | SAN FRANCISCO | WILLIAM NORRIS. | Made in overland express business and banking in Wells, Fargo & Co. Secretary of the company.
CALIFORNIA | SAN FRANCISCO | CORNELIUS O’CONNOR. | Real estate and stocks.
CALIFORNIA | SAN FRANCISCO | JAMES F. ORTMAN. | Groceries and real estate.
CALIFORNIA | SAN FRANCISCO | TIBURCIO PARROTT. | Inherited. Made in mines, buildings, real estate and banking.
CALIFORNIA | SAN FRANCISCO | JOHN PARROTT. | Made in mines, banking and real estate.
CALIFORNIA | SAN FRANCISCO | JAMES PHELAN. | A ’49er. For thirty years an importer and dealer in merchandise and has investments in real estate. Is worth several millions.
CALIFORNIA | SAN FRANCISCO | GEORGE C. PERKINS. | Merchandising and mines.
CALIFORNIA | SAN FRANCISCO | EDMUND PATTEN. | Speculation in mining shares.
CALIFORNIA | SAN FRANCISCO | MRS. JOHN A. PAXTON. | Banking and mines.
CALIFORNIA | SAN FRANCISCO | A. J. POPE (of Pope & Talbot). | Manufacturing lumber; timber lands, and vessels. The firm has large interests at Port Gamble, Wash.
CALIFORNIA | SAN FRANCISCO | DR. E. B. PERRIN. | Lands.
CALIFORNIA | SAN FRANCISCO | MRS. M. A. PARROTT. | Banking, mines, real estate, etc. John Parrott, her husband, was a pioneer.
CALIFORNIA | SAN FRANCISCO | GEORGE W. PRESCOTT. | Made in the Union Iron Works and investments.
CALIFORNIA | SAN FRANCISCO | HENRY PIERCE. | Dealing in grain and judicious investments.
CALIFORNIA | SAN FRANCISCO | MOSES ROSENBAUM. | Real estate and merchandising.
CALIFORNIA | SAN FRANCISCO | WILLIAM C. RALSTON. | Silver mines, speculation and banking.
CALIFORNIA | SAN FRANCISCO | ISAAC L. REQUA. | Mines and speculation.
CALIFORNIA | SAN FRANCISCO | DR. WASHINGTON M. RYER. | Made in real-estate investments.
CALIFORNIA | SAN FRANCISCO | A. G. RUSS. | Made in merchandising and real estate.
CALIFORNIA | SAN FRANCISCO | GEORGE W. RIDLEY. | Extensive wheat farmer and land-owner in Butte County.
CALIFORNIA | SAN FRANCISCO | LOUIS SACHS. | Wholesale drygoods and clothing in Sachs Brothers & Co., here, and in Stiefel, Sachs & Co., New-York City.
CALIFORNIA | SAN FRANCISCO | CLAUS SPRECKELS. | Sugar refining.
CALIFORNIA | SAN FRANCISCO | JOHN D. SPRECKELS. | Received the gift of $1,000,000 from his father, Claus Spreckels, who by his fight with the Eastern Sugar Trust compelled the latter to buy his Philadelphia sugar refinery at an advance of $3,000,000 over what he paid for it.
CALIFORNIA | SAN FRANCISCO | MISS SPRECKELS. | Received a gift of $1,000,000, from her father, Claus Spreckels, who by his fight with the Eastern Sugar Trust compelled the latter to buy his Philadelphia sugar refinery at an advance of $3,000,000 over what he paid for it.
CALIFORNIA | SAN FRANCISCO | JOHN SKAE. | Silver mines and speculation. San Francisco and New-York City. Added to in real estate.
CALIFORNIA | SAN FRANCISCO | LEVI STRAUSS. | Merchandise drygoods and men’s furnishing goods in the firm of Levi Strauss & Co., of San Francisco.
CALIFORNIA | SAN FRANCISCO | GUSTAVE SUTRO. | Mines and real estate.
CALIFORNIA | SAN FRANCISCO | WILLIAM SHIELS. | Rise in real estate.
CALIFORNIA | SAN FRANCISCO | THOMAS SUNDERLAND. | Speculation in mining shares.
CALIFORNIA | SAN FRANCISCO | ADOLPH SUTRO. | Silver mines, speculation, the Sutro Tunnel and real estate.
CALIFORNIA | SAN FRANCISCO | A. M. SIMPSON. | Lumber manufacturing and lands.
CALIFORNIA | SAN FRANCISCO | LOUIS SLOSS. | Furs and merchandising in the Alaska Commercial Company.
CALIFORNIA | SAN FRANCISCO | LELAND STANFORD. | Made a large fortune in building and operating the Central Pacific Railroad; in the Wells, Fargo & Co. Express; in mines, and various investments. President of the Central Pacific and director in the Southern Pacific, Wells, Fargo & Co., etc.
CALIFORNIA | SAN FRANCISCO | FRED. W. SHARON. | Mines and real estate.
CALIFORNIA | SAN FRANCISCO | ROBERT SHERWOOD. | Jewelry business and speculation in Comstock shares.
CALIFORNIA | SAN FRANCISCO | MRS. J. D. TALLENT. | Banking, etc.
CALIFORNIA | SAN FRANCISCO | W. C. TALBOT (of Pope & Talbot). | Manufacturing, lumber, timber lands and vessels. The firm has sawmills and other large interests at Port Gamble, Wash.
CALIFORNIA | SAN FRANCISCO | HIRAM TUBBS. | Merchandising and lands.
CALIFORNIA | SAN FRANCISCO | R. R. THOMPSON. | Mines and real estate.
CALIFORNIA | SAN FRANCISCO | RICHARD TOBIN. | Law practice, banking and investments.
CALIFORNIA | SAN FRANCISCO | JAMES P. TREADWELL. | Law practice, large fees, loans, and city real estate.
CALIFORNIA | SAN FRANCISCO | WILLIAM H. TAYLOR. | Iron manufacturing. President of the Risdon Iron Works.
CALIFORNIA | SAN FRANCISCO | LLOYD TEVIS. | Made in the Wells, Fargo & Co. Express, Wells, Fargo & Co.’s Bank and branches; banking, real estate and mines. President of Wells, Fargo & Co.
CALIFORNIA | SAN FRANCISCO | N. VAN BERGEN (of N. Van Bergen & Co.). | Wholesale liquors and large investments in real estate.
CALIFORNIA | SAN FRANCISCO | MRS. J. H. VAN SCHROEDER. | Inherited. Gas stock, etc.
CALIFORNIA | SAN FRANCISCO | JOHN WIELAND (of the John Wieland Brewing Co.). | Brewing.
CALIFORNIA | SAN FRANCISCO | J. C. WILMERDING. | Wholesale liquors and real estate.
CALIFORNIA | SAN FRANCISCO | ANDREW WELCH. | Shipping and commission.
CALIFORNIA | SAN FRANCISCO | JOSEPH WOODWORTH. | Speculation in mining shares.
CALIFORNIA | SAN FRANCISCO | WILLIAM WAKERLEY. | City real estate.
CALIFORNIA | SAN FRANCISCO | R. B. WOODWARD. | Hotel and real estate.
CALIFORNIA | SAN FRANCISCO | WILLIAM H. WHITE. | Oils and real estate.
CALIFORNIA | SAN FRANCISCO | GENERAL THOMAS H. WILLIAMS. | Silver mines in Nevada.
CALIFORNIA | SAN FRANCISCO | EX-GOVERNOR R. H. WATERMAN. | Mines and railroads.
CALIFORNIA | SAN FRANCISCO | S. M. WILSON. | Law and investments.
CALIFORNIA | SAN FRANCISCO | MR. WHITTIER (of Whittier & Fuller). | Dealing in paints, oils and window glass.
CALIFORNIA | SAN JOSE | DANIEL T. MURPHY. | Formerly Mayor of San Jose. Made a fortune in ranche lands, cattle-raising and city real estate.
CALIFORNIA | WILLIAMS | JESSE C. STOVALL (of Stovall & Wilcoxson). | Dealing in cattle and sheep; loans, real estate and warehousing.
COLORADO | COLORADO SPRINGS | J. J. HAGERMAN. | Formerly one of the owners of the Chapin iron mine in Wisconsin. Increased his wealth by silver mines in Colorado, and railroad development. Director in the Aspen Mining and Smelting Company, Colorado Midland Railway, etc.
COLORADO | CREEDE | N. C. CREEDE. | Founder of the Creede Mining Camp, who is the owner of mines of great value.
COLORADO | DENVER | N. P. HILL. | Boston and Colorado Smelting Company. Smelting and mining.
COLORADO | DENVER | J. S. BROWN. | Cattle and wholesale groceries.
COLORADO | DENVER | W. M. CLAYTON. | Made in real estate.
COLORADO | DENVER | G. W. CLAYTON. | Local real estate.
COLORADO | DENVER | DONALD FLETCHER. | Real estate.
COLORADO | DENVER | H. A. W. TABOR. | Gold and silver mines.
COLORADO | DENVER | WILLIAM GILPIN. | Real estate, Spanish grant.
COLORADO | DENVER | JEROME B. CHAFFEE. | Mercantile business and banking, and finally in Colorado gold mines.
COLORADO | DENVER | ISAAC E. BLAKE. | Oil refining and real estate. He is connected with the Continental Oil Company, branch of the Standard Oil Company.
COLORADO | DENVER | MORITZ BARTH. | Made in real estate.
COLORADO | DENVER | DAVID H. MOFFAT, JR. | Banking, Colorado mines and railroads. President of the First National Bank, and of the Denver and Rio Grande Railroad.
COLORADO | DENVER | WILLIAM BARTH. | First in selling boots and shoes; then in real estate, in which his fortune has been chiefly made. President of the City National Bank.
COLORADO | DENVER | HENRY R. WOLCOTT. | Mines, telephone and street railway stock and real estate. Vice-President of the National Bank of Commerce. Director in the Equitable Life Assurance Society of New York. President of the Colorado Telephone Company, and director in many other corporations.
COLORADO | DENVER | WILLIAM B. DANIELS. | Merchandising. Founder of the leading drygoods and carpets house of the plains.
COLORADO | DENVER | DENNIS SULLIVAN. | Made in Colorado mines and cattle-raising.
COLORADO | DENVER | HENRY M. PORTER. | Cattle-raising, real estate and mines. He is the owner of a Mexican grant.
COLORADO | DENVER | S. N. WOOD. | Made in banking.
COLORADO | DENVER | F. P. ERNEST. | Cattle-raising and real estate.
COLORADO | DENVER | JOB A. COOPER. | Real estate and banking. President of the National Bank of Commerce.
COLORADO | DENVER | MR. ILIFF. | Made in cattle-raising and real estate.
COLORADO | DENVER | GEORGE C. SCHLEIER. | Made in real estate.
COLORADO | DENVER | F. A. KEENER. | Real estate and advance in values.
COLORADO | DENVER | J. R. GRANT (of the Omaha and Grant Smelting and Refining Company). | Mining first, and then smelting.
COLORADO | DENVER | E. ELLIDY (of the Omaha and Grant Smelting and Refining Company). | Colorado mines and smelting.
COLORADO | DENVER | WILLIAM S. JAMES (of the Omaha and Grant Smelting and Refining Company). | First in Colorado mines and then in smelting.
COLORADO | DENVER | CHARLES B. KOUNTZE. | Banking, real estate, railroads, Colorado mines and smelting. President of the Colorado National Bank, and interested in the Globe Smelting and Refining Company. A large owner of real estate.
COLORADO | DENVER | HENRY C. BROWN. | Made in real estate and investments. Obtained by pre-emption 160 acres now in the heart of the city. Owner of the Henry C. Brown Hotel, as well as of other valuable property.
COLORADO | DENVER | JOHN J. RIETHMANN. | Banking, real estate and Colorado mines. President of the German National Bank.
COLORADO | DENVER | WALTER S. CHEESMAN. | Partly in mines and banking, but mainly in real estate. Vice-President of the First National Bank.
COLORADO | DENVER | JOHN EVANS (ex-Governor of Colorado). | Made in railroad building, and in real estate at Evanston, Ill., and elsewhere.
COLORADO | DENVER | E. F. HALLACK. | Sawmills and lumber.
COLORADO | DENVER | JOSEPH A. THATCHER. | Banking here and cattle-raising at Pueblo. President of the Denver National Bank and member of Thatcher Brothers.
COLORADO | DENVER | SAMUEL B. MORGAN. | Colorado mines, and fortunate investments in real estate.
COLORADO | GEORGETOWN | H. M. GRIFFIN. | He made a million or thereabouts in silver mining.
COLORADO | MANITOU SPRINGS | JOHN HULBERT. | Mining brokerage and real estate.
COLORADO | MANITOU SPRINGS | DR. WILLIAM A. BELL. | Railroads and real estate.
COLORADO | PUEBLO | MAHLON D. THATCHER. | Banking and cattle raising in the firm of Thatcher Brothers.
CONNECTICUT | ANSONIA | FRANKLIN FARRELL. | Foundry and machine business.
CONNECTICUT | BRIDGEPORT | P. T. BARNUM. | Museum and circus business.
CONNECTICUT | BRIDGEPORT | HENRY SANFORD. | Made in Adams Express Company.
CONNECTICUT | BRIDGEPORT | CLAPP SPOONER. | Railroads and stocks.
CONNECTICUT | BRIDGEPORT | E. C. BASSICK. | Colorado mines.
CONNECTICUT | BRIDGEPORT | G. F. GILMAN. | In the tea business and investments.
CONNECTICUT | BRIDGEPORT | W. D. BISHOP. | Railroads, stocks and Western Union Telegraph Company. Director in the New York, New Haven and Hartford Railroad; Western Union Telegraph Company, etc.
CONNECTICUT | BRIDGEPORT | NATHANIEL WHEELER. | Made in the Wheeler & Wilson sewing machines, and investments. Director in the New York, New Haven and Hartford Railroad. |
CONNECTICUT | BRIDGEPORT | WILLIAM H. PERRY. | Made in the Wheeler & Wilson sewing machines, and investments.
CONNECTICUT | BRIDGEPORT | BENJAMIN B. HOTCHKISS. | Manufacturing firearms and machine guns.
